Ingredient,Supplier,Cost per kg,Select,Ingredient Category,Cost Kg w Composite,Composite cost,TOTAL/MERIDA (from Composite cost),Imported table,OIK104 MENU INGREDIENTS copy,datecreated,OIK104 MENU,OIK104 MENU copy,OIK104 MENU INGREDIENTS copy,SUPPLIES 2025,SUPPLIES 2026,Q 2025 (from SUPPLIES 2026),Q 2026 (from SUPPLIES 2026),OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS
ΞΥΔΙ ΚΟΚΚΙΝΟ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","0,55",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"0,55",,,"ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ,ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ,ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ,ΧΕΙΡΟΠΟΙΗΤΟ ΦΥΛΛΟ,ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΣΚΟΡΔΑΛΙΑ,ΦΥΛΛΟ ΧΕΙΡΟΠΟΙΗΤΟ 4 ΦΥΛΛΑ,ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ,ΧΤΑΠΟΔΙ ΞΥΔΑΤΟ",,6/4/2025 8:28am,,,"ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ,ΧΤΑΠΟΔΙ ΞΥΔΑΤΟ",,,,,"ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ, ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ, ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ, ΧΕΙΡΟΠΟΙΗΤΟ ΦΥΛΛΟ, ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΦΥΛΛΟ ΧΕΙΡΟΠΟΙΗΤΟ 4 ΦΥΛΛΑ, ΣΚΟΡΔΑΛΙΑ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΦΥΛΛΟ ΧΕΙΡΟΠΟΙΗΤΟ 4 ΦΥΛΛΑ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ",
ΞΥΣΜΑ ΛΕΜΟΝΙ,,,CONNECTED INGREDIENTS,,,,,ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ,,9/4/2025 9:06am,,,,,,,,ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ,
ΟΥΖΟ,,,CONNECTED INGREDIENTS,,,,,ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ,,8/4/2025 9:14pm,,,,,,,,ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ,
ΠΑTΑΤΕΣ ΤΗΓΑΝΗΤΕΣ,,,CONNECTED INGREDIENTS,,,,,,,8/4/2025 9:38pm,,,,,,,,,
ΠΑΓΩΤΟ ΒΑΝΙΛΙΑ,,"8,50",CONNECTED INGREDIENTS,ΓΛΥΚΑ,"8,50",,,ΣΟΥΦΛΕ ΣΟΚΟΛΑΤΑΣ,,8/4/2025 6:03pm,,,,,,,,ΣΟΥΦΛΕ ΣΟΚΟΛΑΤΑΣ,
ΠΑΝΤΖΑΡΙ ΦΕΤΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,57",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,57",,,ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ,,6/4/2025 8:28am,,,,,,,,ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ,
ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ,,,CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,,,,ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ,,8/4/2025 8:48pm,,,,,,,,ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ,
ΠΑΞΙΜΑΔΙ ΛΑΔΙΟΥ,,"3,50",CONNECTED INGREDIENTS,ΑΡΤΟΣΚΕΥΑΣΜΑΤΑ,"3,50",,,"ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,ΣΑΛΑΤΑ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟΥ",,8/4/2025 6:08pm,,,,,,,,"ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ, ΣΑΛΑΤΑ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟΥ",
ΠΑΞΙΜΑΔΙΑ,,,CONNECTED INGREDIENTS,ΑΡΤΟΣΚΕΥΑΣΜΑΤΑ,,,,,,8/4/2025 9:22pm,,,,,,,,,
ΠΑΞΙΜΑΔΙΑ ΛΑΔΙΟΥ,,,CONNECTED INGREDIENTS,,,,,,,7/5/2025 9:59am,,,,,,,,,
ΠΑΠΡΙΚΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","3,35",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"3,35",,,"ΦΑΒΑ 5 ΜΕΡΙΔΕΣ,ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ,ΤΥΡΟΚΑΥΤΕΡΗ",,6/4/2025 8:28am,,,ΤΥΡΟΚΑΥΤΕΡΗ,,,,,"ΦΑΒΑ 5 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ",
ΠΑΡΜΕΖΑΝΑ,,"12,60",CONNECTED INGREDIENTS,ΤΥΡΙΑ,"12,60",,,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,,8/4/2025 9:04pm,,,,,,,,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,
ΠΑΣΤΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","2,06",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"2,06",,,"ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ,ΚΙΜΑΣ 1 ΚΙΛΟΥ",,6/4/2025 8:28am,,,,,,,,"ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ, ΚΙΜΑΣ 1 ΚΙΛΟΥ",
ΠΑΤΑΤΑΚΙΑ,,"6,80",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"6,80",,,ΤΟΣΤ,,7/5/2025 10:41am,,,ΤΟΣΤ,,,,,,
ΠΑΤΑΤΕΣ,,"0,55",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"0,55",,,"ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ ΜΕΡΙΔΑ (250 ΓΡ),ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ,ΜΟΣΧΑΡΙΣΙΑ ΣΠΑΛΟΜΠΡΙΖΟΛΑ,ΜΠΡΙΖΟΛΟΠΑΝΣΕΤΑ ΧΟΙΡΙΝΗ,ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΧΟΙΡΙΝΟ ΚΟΝΤΟΣΟΥΒΛΙ,ΚΟΤΟΠΟΥΛΟ ΚΟΝΤΟΣΟΥΒΛΙ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,BIANCO,ΑΡΝΙ ΚΟΤΣΙ,ΣΚΟΡΔΑΛΙΑ,ΤΣΙΠΟΥΡΑ ΨΗΤΗ,ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ,ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ",,5/4/2025 8:36am,,,"ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ ,ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ ΜΕΡΙΔΑ (250 ΓΡ)							",,,,,"BIANCO, ΑΡΝΙ ΚΟΤΣΙ, ΚΟΤΟΠΟΥΛΟ ΚΟΝΤΟΣΟΥΒΛΙ, ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΜΟΣΧΑΡΙΣΙΑ ΜΠΡΙΖΟΛΑ, ΜΟΣΧΑΡΙΣΙΑ ΣΠΑΛΟΜΠΡΙΖΟΛΑ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ, ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ, ΜΠΡΙΖΟΛΟΠΑΝΣΕΤΑ ΧΟΙΡΙΝΗ, ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ ΜΕΡΙΔΑ (250 ΓΡ), ΠΕΤΑΛΙ, ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΤΣΙΠΟΥΡΑ ΨΗΤΗ, ΧΟΙΡΙΝΟ ΚΟΝΤΟΣΟΥΒΛΙ, ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ, ""ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ, ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ"", ΣΚΟΡΔΑΛΙΑ, ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ",
ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ,,,CONNECTED INGREDIENTS,COMPOSITE,"2,75",ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ,"2,75","ΜΠΕΡΓΚΕΡ YACHT CLUB,ΛΟΥΚΑΝΙΚΟ,ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΚΛΑΣΙΚΟ ΜΕ ΧΟΙΡΙΝΟ,ΜΠΕΡΓΚΕΡ ,ΜΠΡΙΖΟΛΑ ΧΟΙΡΙΝΗ ΛΑΙΜΟΥ,ΟΛΙΚΗΣ VEGETARIAN ,ΤΟΡΤΙΓΙΑ ΚΟΤΟΠΟΥΛΟ",,9/4/2025 8:55am,,,"ΣΟΥΒΛΑΚΙ ΧΟΙΡΙΝΟ ΜΕΡΙΔΑ,ΣΟΥΒΛΑΚΙ ΚΟΤΟΠΟΥΛΟ  ΜΕΡΙΔΑ,ΜΠΕΡΓΚΕΡ ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΤΟΡΤΙΓΙΑ ΚΟΤΟΠΟΥΛΟ,ΚΛΑΣΙΚΟ ΜΕ ΧΟΙΡΙΝΟ,ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ,ΟΛΙΚΗΣ VEGETARIAN ,ΜΠΡΙΖΟΛΑ ΧΟΙΡΙΝΗ",,,,,"ΜΠΕΡΓΚΕΡ YACHT CLUB, ΜΠΡΙΖΟΛΑ ΧΟΙΡΙΝΗ, ΜΠΡΙΖΟΛΑ ΜΟΣΧΑΡΙΣΙΑ, ΛΟΥΚΑΝΙΚΟ",
ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ,,,CONNECTED INGREDIENTS,COMPOSITE,"2,75",ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ,"2,75",,,7/5/2025 7:07am,,,,,,,,,
ΠΑΤΑΤΕΣ ΨΗΤΕΣ,,,CONNECTED INGREDIENTS,,,,,"ΜΠΡΙΖΟΛΑ ΜΟΣΧΑΡΙΣΙΑ,ΜΠΡΙΖΟΛΑ ΧΟΙΡΙΝΗ,ΠΕΤΑΛΙ",,8/4/2025 9:45pm,,,,,,,,,
ΠΕΚΟΡΙΝΟ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","11,50",CONNECTED INGREDIENTS,ΤΥΡΙΑ,"11,50",,,"ΣΚΙΟΥΦΙΧΤΑ ΜΕ ΚΙΜΑ,ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ,ΣΑΛΤΣΑ ΠΕΣΤΟ 1ΚΙΛΟΥ,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,ΠΡΟΣΟΥΤΟ,ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ,ΣΑΛΑΤΑ ΚΟΤΟΠΟΥΛΟ",,6/4/2025 8:21am,,,"ΠΡΟΣΟΥΤΟ,ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ,ΣΑΛΑΤΑ ΚΟΤΟΠΟΥΛΟ",,,,,"ΣΚΙΟΥΦΙΧΤΑ ΜΕ ΚΙΜΑ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΠΕΣΤΟ 1ΚΙΛΟΥ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ",
ΠΕΠΕΡΟΝΙ,,"4,18",CONNECTED INGREDIENTS,ΑΛΛΑΝΤΙΚΑ,"4,18",,,"Unnamed record,ΠΕΠΕΡΟΝΙ,ΣΠΕΣΙΑΛ,4 ΕΠΟΧΕΣ",,6/4/2025 8:22am,,,"4 ΕΠΟΧΕΣ,ΠΕΠΕΡΟΝΙ,ΣΠΕΣΙΑΛ",,,,,,
ΠΙΚ ΝΙΚ,,"3,12",CONNECTED INGREDIENTS,ΑΛΛΑΝΤΙΚΑ,"3,12",,,"Unnamed record,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΚΡΕΠΑ ΖΑΜΠΟΝ-ΤΥΡΙ,ΠΑΙΔΙΚΗ,ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,ΣΠΕΣΙΑΛ,ΤΟΣΤ,4 ΕΠΟΧΕΣ",,6/4/2025 8:22am,,,"ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,ΠΑΙΔΙΚΗ,4 ΕΠΟΧΕΣ,ΣΠΕΣΙΑΛ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΤΟΣΤ,ΚΡΕΠΑ ΖΑΜΠΟΝ-ΤΥΡΙ",,,,,,
ΠΙΠΕΡΙ ΜΑΥΡΟ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","14,44",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"14,44",,,"ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ,ΤΥΡΟΚΑΥΤΕΡΗ 5ΜΕΡΙΔΕΣ,ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ,ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ,ΧΟΥΜΟΥΣ,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,ΣΠΑΓΓΕΤΙ ΦΡΕΣΚΙΑ ΝΤΟΜΑΤΑ,ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ,ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ,ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,BIANCO,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,ΣΑΛΤΣΑ ΠΕΣΤΟ 1ΚΙΛΟΥ,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,ΣΩΣ ΚΙΤΡΙΝΗ,ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ,ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ,ΣΚΟΡΔΑΛΙΑ,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,ΚΙΜΑΣ 1 ΚΙΛΟΥ,ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,ΣΑΛΤΣΑ ΠΙΤΣΑΣ,ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ,ΣΤΡΑΠΑΤΣΑΔΑ,ΧΤΑΠΟΔΙ ΞΥΔΑΤΟ",,6/4/2025 8:28am,,,"ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),ΣΤΡΑΠΑΤΣΑΔΑ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΧΤΑΠΟΔΙ ΞΥΔΑΤΟ",,,,,"BIANCO, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ, ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ), ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ, ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ, ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ, ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ, ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ, ΣΠΑΓΓΕΤΙ ΦΡΕΣΚΙΑ ΝΤΟΜΑΤΑ, ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ), ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ, ΤΥΡΟΚΑΥΤΕΡΗ 5ΜΕΡΙΔΕΣ, ΧΟΥΜΟΥΣ, ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ, ΣΑΛΤΣΑ ΦΕΤΑΣ 1ΚΙΛΟΥ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΠΕΣΤΟ 1ΚΙΛΟΥ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΣΩΣ ΚΙΤΡΙΝΗ, ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ, ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ, ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ, ΣΚΟΡΔΑΛΙΑ, DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ, DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ, ΚΙΜΑΣ 1 ΚΙΛΟΥ, ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΠΙΤΣΑΣ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ",
ΠΙΠΕΡΙΕΣ ΚΟΚΚΙΝΕΣ,ΜΠΕΛΟΣ,"2,65",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"2,65",,,ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ,,9/4/2025 9:17am,,,,ΠΙΠΕΡΙΕΣ ΚΟΚΚΙΝΕΣ,,,,"ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ, ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ",
ΠΙΠΕΡΙΕΣ ΚΟΚΚΙΝΕΣ ΜΙΧ,,"3,50",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"3,50",,,"ΠΕΤΑΛΙ,ΤΣΙΠΟΥΡΑ ΨΗΤΗ",,5/4/2025 8:36am,,,ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ,,,,,"ΠΕΤΑΛΙ, ΤΣΙΠΟΥΡΑ ΨΗΤΗ",
ΠΙΠΕΡΙΕΣ ΠΡΑΣΙΝΕΣ,,"2,90",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"2,90",,,"ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ,ΨΗΤΑ ΛΑΧΑΝΙΚΑ,ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ,ΧΩΡΙΑΤΙΚΗ YACHT CLUB,ΧΩΡΙΑΤΙΚΗ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ,ΟΜΕΛΕΤΑ ΚΛΑΣΣΙΚΗ,ΠΕΠΕΡΟΝΙ,ΣΠΕΣΙΑΛ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ",,5/4/2025 8:36am,,,"ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ,ΠΕΠΕΡΟΝΙ,ΣΠΕΣΙΑΛ,ΟΜΕΛΕΤΑ ΚΛΑΣΣΙΚΗ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,XΩΡΙΑΤΙΚΗ ΣΑΛΑΤΑ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ",,,,,"ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ, ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΧΩΡΙΑΤΙΚΗ, ΧΩΡΙΑΤΙΚΗ YACHT CLUB, ΨΗΤΑ ΛΑΧΑΝΙΚΑ, ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ, ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ",
